Age,Mortality Rate (MS),Mortality Rate (FS),Mortality Rate (MNS),Mortality Rate (FNS)
1,0.0035,0.0035,0.0035,0.0035
2,0.0003,0.0003,0.0003,0.0003
3,0.0002,0.0002,0.0002,0.0002
4,0.0002,0.0002,0.0002,0.0002
5,0.0002,0.0002,0.0002,0.0002
6,0.0001,0.0001,0.0001,0.0001
7,0.0001,0.0001,0.0001,0.0001
8,0.0001,0.0001,0.0001,0.0001
9,0.0001,0.0001,0.0001,0.0001
10,0.0001,0.0001,0.0001,0.0001
11,0.0001,0.0001,0.0001,0.0001
12,0.0001,0.0001,0.0001,0.0001
13,0.0002,0.0002,0.0002,0.0002
14,0.0002,0.0002,0.0002,0.0002
15,0.0002,0.0002,0.0002,0.0002
16,0.0003,0.0003,0.0003,0.0003
17,0.0003,0.0003,0.0003,0.0003
18,0.0023,0.0034,0.0004,0.0003
19,0.0026,0.0039,0.0004,0.0003
20,0.0028,0.0042,0.0005,0.0003
21,0.0031,0.0045,0.0005,0.0003
22,0.0032,0.0048,0.0006,0.0004
23,0.0033,0.0049,0.0006,0.0004
24,0.0034,0.0050,0.0006,0.0004
25,0.0034,0.0050,0.0006,0.0004
26,0.0034,0.0051,0.0006,0.0004
27,0.0035,0.0052,0.0006,0.0004
28,0.0036,0.0053,0.0006,0.0004
29,0.0037,0.0055,0.0006,0.0004
30,0.0038,0.0057,0.0007,0.0004
31,0.0040,0.0060,0.0007,0.0004
32,0.0043,0.0063,0.0007,0.0005
33,0.0045,0.0066,0.0008,0.0005
34,0.0048,0.0070,0.0008,0.0005
35,0.0051,0.0075,0.0009,0.0006
36,0.0054,0.0080,0.0009,0.0006
37,0.0059,0.0087,0.0010,0.0006
38,0.0064,0.0095,0.0011,0.0007
39,0.0070,0.0104,0.0012,0.0008
40,0.0076,0.0112,0.0013,0.0008
41,0.0083,0.0122,0.0014,0.0009
42,0.0090,0.0133,0.0015,0.0010
43,0.0097,0.0144,0.0017,0.0011
44,0.0106,0.0157,0.0018,0.0012
45,0.0115,0.0170,0.0020,0.0013
46,0.0125,0.0184,0.0021,0.0014
47,0.0136,0.0201,0.0023,0.0015
48,0.0149,0.0221,0.0025,0.0016
49,0.0163,0.0241,0.0028,0.0018
50,0.0178,0.0264,0.0030,0.0019
51,0.0195,0.0288,0.0033,0.0021
52,0.0214,0.0316,0.0036,0.0023
53,0.0235,0.0348,0.0040,0.0026
54,0.0259,0.0383,0.0044,0.0028
55,0.0286,0.0423,0.0049,0.0031
56,0.0316,0.0468,0.0054,0.0034
57,0.0348,0.0515,0.0059,0.0038
58,0.0382,0.0565,0.0065,0.0041
59,0.0419,0.0621,0.0072,0.0045
60,0.0464,0.0687,0.0079,0.0050
61,0.0512,0.0758,0.0087,0.0055
62,0.0560,0.0828,0.0096,0.0061
63,0.0612,0.0906,0.0105,0.0066
64,0.0668,0.0989,0.0114,0.0072
65,0.0730,0.1080,0.0125,0.0079
66,0.0802,0.1186,0.0137,0.0087
67,0.0878,0.1300,0.0150,0.0095
68,0.0960,0.1420,0.0164,0.0104
69,0.1051,0.1556,0.0180,0.0114
70,0.1155,0.1709,0.0198,0.0125
71,0.1273,0.1883,0.0218,0.0138
72,0.1409,0.2085,0.0241,0.0153
73,0.1567,0.2318,0.0268,0.0170
